# Optimization level: -O2

bench                   iters=0      iters=1     iters=11       per-iter
------------------ ------------ ------------ ------------ --------------
mldsa44                     178      2188017     24066403        2187838
mldsa65                     178      3666307     40327593        3666128
mldsa87                     178      6281717     69097103        6281538
mldsa-pqm4-44               178      1294816     14241192        1294637
mldsa-pqm4-65               178      2215353     24367099        2215174
mldsa-pqm4-87               178      3855565     42409431        3855386
dilithium2-fkd          3012005      4349669     17726293        1337662
p256-m                      178     15945755    175401552       15945579
p256-oreparaz               178     11828440    130111086       11828264
sb-mldsa44-v1               178      1285691     14140817        1285512
sb-mldsa44-v2            864077      1298087      5638183         434009
sb-mldsa44-v3            909443      1301180      5218546         391736
sb-mldsa44-v4           1009165      1301226      4221832         292060
sb-mldsa44-v5           1009868      1301435      4217101         291566
sb-mldsa44-v6           1009868      1276866      3946842         266997
sb-mldsa44-v7           1009868      1273919      3914425         264050
sb-mldsa44-v8           1009868      1265420      3820936         255551
sb-mldsa44-v9           1009868      1260008      3761404         250139
sb-mldsa44-v10          1009868      1259780      3758896         249911
